101440980 19570810 Betty Lamprey 76988
103980155 19270624 Pinky Fellowes 55325
106100903 19470314 Oliver Kringle 12807
108690448 19480105 Larry Brown 87195
111180924 19641028 Adolf Davies 66930
112200747 19710227 Bella Napster 19260
112550407 19730716 Marianne Stone 54579
113070570 19570504 Apu Mitchell 30448
113220519 19401023 Jilly Aston 41058
114680858 19670607 Matilda Vincent 71734
114930037 19471024 Desdemona Hanover 69743
115550206 19790110 Xanadu Perlman 12193
116520629 19630921 Alexander Hall 94976
117050976 19301016 David Lamprey 50895
119610646 19650202 Thomas Porlock 83582
120330928 19621126 Cary Cartman 90387
122460462 19620411 Bella Oldman 94495
123040628 19220213 Elizabeth Watson 90369
123580905 19230308 Gustav Hornswaggle 37568
125040813 19840613 Godfrey Tumor 55645
125610677 19580903 Gustav Trentham 73590
126470499 19521219 Justin Oddly 33458
127700250 19300616 Ursula Farnes 74163
129540334 19791114 Betty Eaton 25807
